sl,COMMON.NAME,freq,se
1,Fulvous Whistling-Duck,-5.088653504,0.65131137
1,Lesser Whistling-Duck,-2.790598417,0.645334958
1,Bar-headed Goose,-4.456451758,0.638013843
1,Graylag Goose,-5.059686786,0.811910032
1,Knob-billed Duck,-3.815410507,0.676227309
1,Ruddy Shelduck,-3.74171551,0.63997826
1,Cotton Pygmy-Goose,-4.123011996,0.640203846
1,Garganey,-4.741391653,0.667812856
1,Northern Shoveler,-4.482777367,0.636076896
1,Gadwall,-4.378847448,0.652131252
1,Eurasian Wigeon,-4.933821129,0.670299231
1,Indian Spot-billed Duck,-2.773772651,0.658415195
1,Mallard,-4.876124165,0.649521684
1,Northern Pintail,-4.761657248,0.64875426
1,Green-winged Teal,-5.01125843,0.661218265
1,Red-crested Pochard,-4.4649715,0.670452603
1,Common Pochard,-4.588159384,0.648731281
1,Ferruginous Duck,-5.306727733,0.863316797
1,Tufted Duck,-4.881172627,0.67098036
1,Common Merganser,-5.36003535,0.689536628
1,Hill Partridge,-4.410905834,0.679579965
1,Himalayan Monal,-4.227392311,0.686001407
1,Kalij Pheasant,-3.893687973,0.64994548
1,Indian Peafowl,-1.845568722,0.661301471
1,Red Spurfowl,-4.69358573,0.638820408
1,Painted Spurfowl,-4.526162498,0.658830949
1,Red Junglefowl,-3.541529701,0.638910461
1,Gray Junglefowl,-4.274560605,0.626037069
1,Gray Francolin,-2.006670959,0.653979097
1,Swamp Francolin,-4.264257421,0.652511626
1,Black Francolin,-3.329859844,0.658584605
1,Painted Francolin,-3.519985217,0.654080344
1,Rain Quail,-4.83775506,0.672563645
1,Chukar,-2.842702294,0.708784877
1,Jungle Bush-Quail,-4.371242908,0.633397549
1,Rock Bush-Quail,-4.055901773,0.646589836
1,Greater Flamingo,-4.32703471,0.629724705
1,Lesser Flamingo,-4.272129421,0.63489464
1,Little Grebe,-2.834930046,0.652117096
1,Great Crested Grebe,-4.381286072,0.629156221
1,Rock Pigeon,-1.239801119,0.623362255
1,Hill Pigeon,-2.42361204,0.710955627
1,Snow Pigeon,-3.738633619,0.667985007
1,Speckled Wood-Pigeon,-4.805901952,0.64218796
1,Nilgiri Wood-Pigeon,-6.279129095,0.672881294
1,Oriental Turtle-Dove,-3.471099976,0.657275426
1,Eurasian Collared-Dove,-1.800974507,0.659879252
1,Red Collared-Dove,-3.357405905,0.651121168
1,Spotted Dove,-1.424844388,0.629468622
1,Laughing Dove,-1.568587673,0.652059965
1,Barred Cuckoo-Dove,-3.969401679,0.668120173
1,Asian Emerald Dove,-3.975082735,0.641208578
1,Orange-breasted Green-Pigeon,-5.784739896,0.713562476
1,Gray-fronted Green-Pigeon,-4.898612546,0.702425497
1,Thick-billed Green-Pigeon,-3.935476156,0.647090561
1,Yellow-footed Green-Pigeon,-2.98342478,0.626143293
1,Pin-tailed Green-Pigeon,-4.192095662,0.637067942
1,Wedge-tailed Green-Pigeon,-4.244565825,0.6746006
1,Green Imperial-Pigeon,-4.481891593,0.670906525
1,Malabar Imperial-Pigeon,-5.821232579,0.705796851
1,Mountain Imperial-Pigeon,-3.671838495,0.680103254
